"sex" "age" "educ" "country" "self" "vign1" "vign2" "vign3" "vign4" "vign5" "vign6"
"109276" 0 20 4 "Eurasia" 1 4 3 3 5 3 4
"25117" 1 55 5 "Oceania" 2 3 3 4 4 4 5
"106877" 0 27 2 "Eastasia" 1 2 1 4 4 5 5
"69437" 1 30 1 "Eastasia" 1 2 2 4 5 5 5
"88178" 1 25 4 "Oceania" 2 3 3 5 5 5 5
"111063" 1 56 2 "Eastasia" 2 3 2 4 5 5 4
"49120" 1 26 6 "Eastasia" 1 2 1 4 3 3 5
"124025" 1 54 4 "Eastasia" 3 5 5 4 5 5 5
"73344" 1 48 1 "Eastasia" 3 5 4 5 4 4 4
"29990" 0 31 4 "Oceania" 4 5 5 5 5 5 5
"154943" 0 70 1 "Eastasia" 2 5 5 5 5 5 5
"27537" 1 65 4 "Oceania" 1 4 4 5 5 4 5
"87809" 1 36 2 "Oceania" 2 3 3 4 5 5 5
"85425" 1 30 5 "Eastasia" 1 5 5 5 5 5 5
"67018" 0 77 2 "Eastasia" 2 3 2 4 5 4 5
"161488" 0 65 6 "Eastasia" 2 3 3 5 5 5 5
"168999" 1 29 6 "Eastasia" 1 4 1 2 3 3 5
"154698" 1 31 1 "Eastasia" 2 5 3 5 5 5 5
"44532" 1 50 5 "Oceania" 1 5 3 5 5 3 5
"63414" 1 35 1 "Eastasia" 1 4 1 5 4 3 5
"2818" 0 42 2 "Oceania" 2 3 2 5 4 4 5
"92498" 1 49 3 "Oceania" 1 3 4 4 5 5 4
"139014" 1 22 6 "Eastasia" 1 4 4 5 4 4 3
"92859" 1 25 3 "Oceania" 1 3 5 3 5 2 5
"21713" 1 46 2 "Eastasia" 1 2 1 5 4 5 5
"77643" 0 35 2 "Oceania" 2 5 5 5 5 5 5
"29770" 0 53 2 "Oceania" 1 3 2 4 3 3 3
"165314" 1 60 1 "Eastasia" 1 2 2 2 4 3 5
"25463" 0 46 3 "Oceania" 2 3 3 5 5 4 4
"97175" 1 25 1 "Eastasia" 1 3 3 3 3 3 3
"95503" 0 20 5 "Eastasia" 1 4 4 3 3 4 4
"29760" 1 66 3 "Oceania" 1 3 3 4 5 5 5
"25431" 0 29 4 "Oceania" 2 4 4 5 5 5 5
"161405" 0 55 1 "Eastasia" 1 2 1 4 4 2 5
"63320" 1 33 4 "Eastasia" 1 4 2 5 5 5 5
"41763" 0 48 4 "Oceania" 2 3 2 4 4 3 5
"75917" 1 49 3 "Oceania" 2 4 4 5 5 5 4
"110978" 1 64 3 "Eastasia" 2 3 5 3 5 3 5
"28130" 0 30 4 "Oceania" 1 5 5 5 5 5 5
"63593" 0 58 1 "Eastasia" 1 4 4 5 4 5 5
"30111" 0 82 3 "Oceania" 2 3 3 4 5 5 5
"30568" 1 40 4 "Oceania" 2 3 3 5 5 5 5
"112237" 0 34 2 "Eastasia" 2 3 2 4 5 5 5
"82797" 1 70 1 "Eastasia" 1 2 1 5 4 4 4
"26276" 1 63 2 "Oceania" 2 3 3 4 4 4 5
"63298" 1 52 1 "Eastasia" 1 2 5 3 5 3 5
"159696" 1 31 1 "Eastasia" 2 3 4 4 5 4 5
"20169" 0 21 1 "Eastasia" 2 5 5 5 5 5 5
"134415" 1 42 6 "Eastasia" 3 4 5 4 5 5 5
"18395" 1 50 6 "Eastasia" 3 4 1 4 2 1 5
"99392" 1 28 1 "Eastasia" 1 3 2 4 5 3 5
"26299" 0 39 3 "Oceania" 2 4 3 3 4 3 3
"71072" 1 93 1 "Eastasia" 2 3 4 3 4 4 4
"159390" 1 24 1 "Eastasia" 2 4 5 5 5 5 5
"89206" 0 58 2 "Oceania" 2 3 3 5 5 5 5
"24342" 0 40 3 "Oceania" 1 2 2 3 5 4 5
"109960" 1 37 4 "Eurasia" 1 4 4 3 5 1 3
"74698" 1 23 3 "Oceania" 1 2 2 4 5 4 5
"164284" 0 54 3 "Eastasia" 1 2 1 5 1 1 5
"151615" 0 37 3 "Eastasia" 2 4 4 4 5 5 5
"171521" 1 29 4 "Eastasia" 1 3 2 3 4 3 5
"159206" 1 31 3 "Eastasia" 2 4 4 5 5 5 3
"166325" 0 22 4 "Eastasia" 3 4 5 4 4 5 4
